#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.2163e-9 
         0.005     5.247e-9 
          0.01    9.5631e-9 
          0.05    4.9396e-9 
           0.1    2.568e-10 
          0.15    2.568e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  5
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.0635e-9 
         0.005    2.5523e-9 
          0.01    2.1269e-9 
          0.05    1.7866e-9 
           0.1    1.6165e-9 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  3
#data...
#            X            Y
#          MeV      b/eV/sr
         1e-11    1.043e-19 
         2e-11    2.086e-19 
          0.01    1.043e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.50E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  16
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    4.0983e-9 
         0.005    1.9442e-8 
          0.01    3.9717e-8 
          0.05    1.4057e-8 
           0.1    1.0634e-8 
          0.15    4.8751e-9 
           0.2     2.045e-9 
          0.25    1.8721e-9 
           0.3    4.6528e-9 
          0.35   4.4465e-10 
           0.4     1.798e-9 
          0.45    1.8474e-9 
           0.5    1.7485e-9 
          0.55   1.9762e-10 
           0.6   2.2232e-10 
          0.65   2.2232e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.50E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  15
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001     2.046e-9 
         0.005    2.4552e-9 
          0.01    5.8311e-9 
          0.05    5.8925e-9 
           0.1    5.2378e-9 
          0.15    3.9283e-9 
           0.2    4.0102e-9 
          0.25    3.8465e-9 
           0.3    3.1918e-9 
          0.35    2.9462e-9 
           0.4    2.2915e-9 
          0.45    2.2915e-9 
           0.5    2.2097e-9 
          0.55    1.3913e-9 
           0.6    4.092e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.50E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  8
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    2.5485e-9 
          0.01     1.357e-9 
          0.05    1.3675e-9 
           0.1    1.4478e-9 
          0.15    2.1722e-9 
           0.2    1.3134e-9 
          0.25   8.1772e-10 
           0.3   8.0266e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei3.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  28
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    5.9004e-9 
         0.001    2.8492e-8 
         0.005    1.4084e-7 
          0.01    4.0225e-7 
          0.05    1.3102e-7 
           0.1    1.0895e-7 
          0.15    6.9811e-8 
           0.2    3.5884e-8 
          0.25     1.006e-7 
           0.3    4.8554e-8 
          0.35     4.826e-8 
           0.4    5.8099e-7 
          0.45    3.4529e-8 
           0.5    4.0629e-8 
          0.55    7.2364e-8 
           0.6    4.4962e-8 
          0.65    2.7428e-8 
           0.7    2.8947e-8 
          0.75    2.2317e-8 
           0.8    2.8181e-8 
          0.85    3.9098e-8 
           0.9    1.0694e-8 
          0.95    1.6793e-8 
             1    3.1215e-9 
          1.05    2.2969e-9 
